Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET / encoded query,1387,0,0,2,0.45,13.482%,1194.65978,461.86,187.74,395.9
POST /test,1387,0,0,2,0.47,13.987%,1201.90641,496.32,287.73,422.9
GET /activities,1427,0,0,2,0.43,11.913%,1233.36214,431.84,133.68,358.5
GET /mallory,1442,0,0,2,0.44,12.899%,1246.32671,464.93,152.66,382.0
GET /,1511,0,0,2,0.46,12.972%,1305.96370,489.38,143.18,383.7
POST /images,1455,0,0,6,0.50,12.096%,1257.56266,519.49,30769.00,423.0
GET /api/test/XXXX,1391,0,0,2,0.43,12.150%,1213.78709,431.65,138.40,364.2
TOTAL,10000,0,0,6,0.46,12.780%,8613.26443,3280.33,31701.38,390.0
