Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /activities,1413,4,3,8,0.89,0.000%,180.71365,53.83,22.24,305.0
POST /test,1478,8,5,16,1.19,0.000%,189.58440,35.55,52.77,192.0
GET /mallory,1407,5,3,10,0.95,0.000%,179.64760,28.25,25.26,161.0
POST /images,1443,13,8,25,1.73,0.000%,185.23748,37.81,5155.86,209.0
GET /api/test/XXXX,1406,4,3,11,0.91,0.000%,180.60373,33.16,23.44,188.0
GET / encoded query,1444,5,3,15,0.97,0.000%,185.81907,19.42,33.75,107.0
GET /,1409,5,3,11,0.96,0.000%,181.61897,18.98,22.88,107.0
TOTAL,10000,7,3,25,3.26,0.000%,1273.07447,225.33,5292.10,181.2
