Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /mallory,1420,1,1,3,0.49,0.000%,455.12821,71.56,64.00,161.0
GET / encoded query,1482,4,2,6,0.70,0.000%,475.00000,49.63,86.28,107.0
GET /api/test/XXXX,1435,1,0,3,0.48,0.000%,460.37857,84.52,59.74,188.0
GET /,1405,4,3,6,0.75,0.000%,453.81137,47.42,57.17,107.0
GET /activities,1422,1,0,3,0.49,0.000%,458.41393,136.54,56.41,305.0
POST /test,1418,1,0,3,0.47,0.000%,457.71465,85.82,127.39,192.0
POST /images,1418,1,1,6,0.53,0.000%,461.88925,94.27,12856.18,209.0
TOTAL,10000,2,0,6,1.38,0.000%,3198.97633,565.33,13074.28,181.0
